date_day,date_name,sex_name,geography_name,value_type_name,measures,measures_name,all_persons_aged_16_and_over,total_unemployed_aged_16_and_over,total_in_employment_aged_16_to_64,total_economically_inactive_aged_16_to_64
2018-07-01,May 2018-Jul 2018,Total,London,Change on year,20100,number of people,104216,-16637,47934,55542
2018-07-01,May 2018-Jul 2018,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.7,74.6,21.6
2018-07-01,May 2018-Jul 2018,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.5,0,0.5
2018-07-01,May 2018-Jul 2018,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,-0.3,0.6
2018-08-01,Jun 2018-Aug 2018,Total,London,Level,20100,number of people,7054593,229909,4512886,1291629
2018-08-01,Jun 2018-Aug 2018,Total,London,Change on quarter,20100,number of people,22965,-19576,33012,13424
2018-08-01,Jun 2018-Aug 2018,Total,London,Change on year,20100,number of people,101172,-3078,52435,34757
2018-08-01,Jun 2018-Aug 2018,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.7,74.9,21.4
2018-08-01,Jun 2018-Aug 2018,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,0.3,0.2
2018-08-01,Jun 2018-Aug 2018,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,-0.2,0.3
2018-09-01,Jul 2018-Sep 2018,Total,London,Level,20100,number of people,7060125,225262,4536036,1274322
2018-09-01,Jul 2018-Sep 2018,Total,London,Change on quarter,20100,number of people,19744,-12408,51549,-20391
2018-09-01,Jul 2018-Sep 2018,Total,London,Change on year,20100,number of people,98125,-10221,116094,-26750
2018-09-01,Jul 2018-Sep 2018,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.6,75.2,21.1
2018-09-01,Jul 2018-Sep 2018,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.3,0.7,-0.4
2018-09-01,Jul 2018-Sep 2018,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.3,0.9,-0.7
2018-10-01,Aug 2018-Oct 2018,Total,London,Level,20100,number of people,7065667,228850,4557186,1257394
2018-10-01,Aug 2018-Oct 2018,Total,London,Change on quarter,20100,number of people,16639,729,62102,-44949
2018-10-01,Aug 2018-Oct 2018,Total,London,Change on year,20100,number of people,94834,-5883,118449,-37279
2018-10-01,Aug 2018-Oct 2018,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.6,75.5,20.8
2018-10-01,Aug 2018-Oct 2018,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,0.9,-0.8
2018-10-01,Aug 2018-Oct 2018,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,1,-0.9
2018-11-01,Sep 2018-Nov 2018,Total,London,Level,20100,number of people,7071163,223704,4526051,1295852
2018-11-01,Sep 2018-Nov 2018,Total,London,Change on quarter,20100,number of people,16570,-6205,13165,4223
2018-11-01,Sep 2018-Nov 2018,Total,London,Change on year,20100,number of people,91694,-29756,90342,11001
2018-11-01,Sep 2018-Nov 2018,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.6,75,21.5
2018-11-01,Sep 2018-Nov 2018,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,0.1,0
2018-11-01,Sep 2018-Nov 2018,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.7,0.6,-0.1
2018-12-01,Oct 2018-Dec 2018,Total,London,Level,20100,number of people,7076856,217662,4522501,1304097
2018-12-01,Oct 2018-Dec 2018,Total,London,Change on quarter,20100,number of people,16731,-7600,-13535,29775
2018-12-01,Oct 2018-Dec 2018,Total,London,Change on year,20100,number of people,88686,-24386,79773,13363
2018-12-01,Oct 2018-Dec 2018,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.5,74.8,21.6
2018-12-01,Oct 2018-Dec 2018,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,-0.4,0.5
2018-12-01,Oct 2018-Dec 2018,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.6,0.5,0
2019-01-01,Nov 2018-Jan 2019,Total,London,Level,20100,number of people,7082284,206608,4556128,1285921
2019-01-01,Nov 2018-Jan 2019,Total,London,Change on quarter,20100,number of people,16617,-22242,-1058,28527
2019-01-01,Nov 2018-Jan 2019,Total,London,Change on year,20100,number of people,85452,-35215,88860,15025
2019-01-01,Nov 2018-Jan 2019,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.2,75.4,21.3
2019-01-01,Nov 2018-Jan 2019,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,-0.2,0.4
2019-01-01,Nov 2018-Jan 2019,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.8,0.7,0
2019-02-01,Dec 2018-Feb 2019,Total,London,Level,20100,number of people,7087762,217972,4527947,1308459
2019-02-01,Dec 2018-Feb 2019,Total,London,Change on quarter,20100,number of people,16599,-5732,1896,12607
2019-02-01,Dec 2018-Feb 2019,Total,London,Change on year,20100,number of people,82346,-16647,40051,40808
2019-02-01,Dec 2018-Feb 2019,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.5,74.8,21.6
2019-02-01,Dec 2018-Feb 2019,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,-0.1,0.2
2019-02-01,Dec 2018-Feb 2019,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.4,-0.1,0.5
2019-03-01,Jan 2019-Mar 2019,Total,London,Level,20100,number of people,7093407,214018,4538153,1309105
2019-03-01,Jan 2019-Mar 2019,Total,London,Change on quarter,20100,number of people,16551,-3644,15652,5008
2019-03-01,Jan 2019-Mar 2019,Total,London,Change on year,20100,number of people,79131,-28244,38098,52935
2019-03-01,Jan 2019-Mar 2019,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.4,75,21.6
2019-03-01,Jan 2019-Mar 2019,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,0.1,0
2019-03-01,Jan 2019-Mar 2019,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.6,-0.1,0.7
2019-04-01,Feb 2019-Apr 2019,Total,London,Level,20100,number of people,7099035,208890,4535678,1317950
2019-04-01,Feb 2019-Apr 2019,Total,London,Change on quarter,20100,number of people,16751,2282,-20450,32029
2019-04-01,Feb 2019-Apr 2019,Total,London,Change on year,20100,number of people,76222,-44694,54570,48942
2019-04-01,Feb 2019-Apr 2019,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.3,74.9,21.8
2019-04-01,Feb 2019-Apr 2019,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,-0.5,0.5
2019-04-01,Feb 2019-Apr 2019,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.9,0.2,0.6
2019-05-01,Mar 2019-May 2019,Total,London,Level,20100,number of people,7104562,208763,4543656,1307914
2019-05-01,Mar 2019-May 2019,Total,London,Change on quarter,20100,number of people,16800,-9209,15709,-545
2019-05-01,Mar 2019-May 2019,Total,London,Change on year,20100,number of people,72934,-40722,63782,29709
2019-05-01,Mar 2019-May 2019,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.3,75,21.6
2019-05-01,Mar 2019-May 2019,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,0.1,-0.1
2019-05-01,Mar 2019-May 2019,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.8,0.4,0.3
2019-06-01,Apr 2019-Jun 2019,Total,London,Level,20100,number of people,7110074,221989,4528847,1317372
2019-06-01,Apr 2019-Jun 2019,Total,London,Change on quarter,20100,number of people,16667,7971,-9306,8267
2019-06-01,Apr 2019-Jun 2019,Total,London,Change on year,20100,number of people,69693,-15681,44360,22659
2019-06-01,Apr 2019-Jun 2019,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.5,74.7,21.7
2019-06-01,Apr 2019-Jun 2019,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.2,-0.3,0.1
2019-06-01,Apr 2019-Jun 2019,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.3,0.1,0.2
2019-07-01,May 2019-Jul 2019,Total,London,Level,20100,number of people,7115696,225144,4510350,1339215
2019-07-01,May 2019-Jul 2019,Total,London,Change on quarter,20100,number of people,16661,16254,-25328,21265
2019-07-01,May 2019-Jul 2019,Total,London,Change on year,20100,number of people,66668,-2977,15266,36872
2019-07-01,May 2019-Jul 2019,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.6,74.3,22.1
2019-07-01,May 2019-Jul 2019,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.4,-0.6,0.3
2019-07-01,May 2019-Jul 2019,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,-0.3,0.4
2019-08-01,Jun 2019-Aug 2019,Total,London,Level,20100,number of people,7120906,225416,4507392,1348097
2019-08-01,Jun 2019-Aug 2019,Total,London,Change on quarter,20100,number of people,16344,16653,-36264,40183
2019-08-01,Jun 2019-Aug 2019,Total,London,Change on year,20100,number of people,66313,-4493,-5494,56468
2019-08-01,Jun 2019-Aug 2019,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.6,74.2,22.2
2019-08-01,Jun 2019-Aug 2019,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.4,-0.7,0.6
2019-08-01,Jun 2019-Aug 2019,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,-0.7,0.8
2019-09-01,Jul 2019-Sep 2019,Total,London,Level,20100,number of people,7126246,222479,4535355,1325019
2019-09-01,Jul 2019-Sep 2019,Total,London,Change on quarter,20100,number of people,16172,490,6508,7647
2019-09-01,Jul 2019-Sep 2019,Total,London,Change on year,20100,number of people,66121,-2783,-681,50697
2019-09-01,Jul 2019-Sep 2019,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.5,74.6,21.8
2019-09-01,Jul 2019-Sep 2019,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,0,0.1
2019-09-01,Jul 2019-Sep 2019,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,-0.6,0.7
2019-10-01,Aug 2019-Oct 2019,Total,London,Level,20100,number of people,7131545,221300,4547785,1319651
2019-10-01,Aug 2019-Oct 2019,Total,London,Change on quarter,20100,number of people,15849,-3844,37435,-19564
2019-10-01,Aug 2019-Oct 2019,Total,London,Change on year,20100,number of people,65878,-7550,-9401,62257
2019-10-01,Aug 2019-Oct 2019,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.5,74.8,21.7
2019-10-01,Aug 2019-Oct 2019,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,0.5,-0.4
2019-10-01,Aug 2019-Oct 2019,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.1,-0.7,0.9
2019-11-01,Sep 2019-Nov 2019,Total,London,Level,20100,number of people,7136924,213947,4601732,1275869
2019-11-01,Sep 2019-Nov 2019,Total,London,Change on quarter,20100,number of people,16018,-11469,94340,-72228
2019-11-01,Sep 2019-Nov 2019,Total,London,Change on year,20100,number of people,65761,-9757,75681,-19983
2019-11-01,Sep 2019-Nov 2019,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.3,75.6,21
2019-11-01,Sep 2019-Nov 2019,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.3,1.4,-1.2
2019-11-01,Sep 2019-Nov 2019,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.3,0.7,-0.5
2019-12-01,Oct 2019-Dec 2019,Total,London,Level,20100,number of people,7142245,212835,4597936,1284140
2019-12-01,Oct 2019-Dec 2019,Total,London,Change on quarter,20100,number of people,15999,-9644,62581,-40879
2019-12-01,Oct 2019-Dec 2019,Total,London,Change on year,20100,number of people,65389,-4827,75435,-19957
2019-12-01,Oct 2019-Dec 2019,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.3,75.5,21.1
2019-12-01,Oct 2019-Dec 2019,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.3,0.9,-0.7
2019-12-01,Oct 2019-Dec 2019,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,0.7,-0.5
2020-01-01,Nov 2019-Jan 2020,Total,London,Level,20100,number of people,7147672,224354,4629941,1244387
2020-01-01,Nov 2019-Jan 2020,Total,London,Change on quarter,20100,number of people,16127,3054,82156,-75264
2020-01-01,Nov 2019-Jan 2020,Total,London,Change on year,20100,number of people,65388,17746,73813,-41534
2020-01-01,Nov 2019-Jan 2020,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.5,76,20.4
2020-01-01,Nov 2019-Jan 2020,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,1.2,-1.3
2020-01-01,Nov 2019-Jan 2020,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.3,0.7,-0.8
2020-02-01,Dec 2019-Feb 2020,Total,London,Level,20100,number of people,7152819,229245,4677031,1199498
2020-02-01,Dec 2019-Feb 2020,Total,London,Change on quarter,20100,number of people,15895,15298,75299,-76371
2020-02-01,Dec 2019-Feb 2020,Total,London,Change on year,20100,number of people,65057,11273,149084,-108961
2020-02-01,Dec 2019-Feb 2020,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.5,76.7,19.7
2020-02-01,Dec 2019-Feb 2020,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.2,1.1,-1.3
2020-02-01,Dec 2019-Feb 2020,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,1.9,-1.9
2020-03-01,Jan 2020-Mar 2020,Total,London,Level,20100,number of people,7153146,244709,4662390,1198368
2020-03-01,Jan 2020-Mar 2020,Total,London,Change on quarter,20100,number of people,10901,31874,64454,-85772
2020-03-01,Jan 2020-Mar 2020,Total,London,Change on year,20100,number of people,59739,30691,124237,-110737
2020-03-01,Jan 2020-Mar 2020,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.8,76.5,19.7
2020-03-01,Jan 2020-Mar 2020,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.5,1,-1.4
2020-03-01,Jan 2020-Mar 2020,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.4,1.6,-2
2020-04-01,Feb 2020-Apr 2020,Total,London,Level,20100,number of people,7152512,245368,4632029,1216767
2020-04-01,Feb 2020-Apr 2020,Total,London,Change on quarter,20100,number of people,4840,21014,2088,-27620
2020-04-01,Feb 2020-Apr 2020,Total,London,Change on year,20100,number of people,53477,36478,96351,-101183
2020-04-01,Feb 2020-Apr 2020,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.9,76,20
2020-04-01,Feb 2020-Apr 2020,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.4,0,-0.5
2020-04-01,Feb 2020-Apr 2020,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.6,1.2,-1.8
2020-05-01,Mar 2020-May 2020,Total,London,Level,20100,number of people,7152332,265926,4583460,1241717
2020-05-01,Mar 2020-May 2020,Total,London,Change on quarter,20100,number of people,-487,36681,-93571,42219
2020-05-01,Mar 2020-May 2020,Total,London,Change on year,20100,number of people,47770,57163,39804,-66197
2020-05-01,Mar 2020-May 2020,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.3,75.2,20.4
2020-05-01,Mar 2020-May 2020,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.8,-1.5,0.7
2020-05-01,Mar 2020-May 2020,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,1.1,0.3,-1.2
2020-06-01,Apr 2020-Jun 2020,Total,London,Level,20100,number of people,7158396,244770,4632330,1218050
2020-06-01,Apr 2020-Jun 2020,Total,London,Change on quarter,20100,number of people,5250,61,-30060,19682
2020-06-01,Apr 2020-Jun 2020,Total,London,Change on year,20100,number of people,48322,22781,103483,-99322
2020-06-01,Apr 2020-Jun 2020,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,4.9,76,20
2020-06-01,Apr 2020-Jun 2020,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.1,-0.5,0.3
2020-06-01,Apr 2020-Jun 2020,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.3,1.3,-1.7
2020-07-01,May 2020-Jul 2020,Total,London,Level,20100,number of people,7169581,265376,4654545,1188540
2020-07-01,May 2020-Jul 2020,Total,London,Change on quarter,20100,number of people,17069,20008,22516,-28227
2020-07-01,May 2020-Jul 2020,Total,London,Change on year,20100,number of people,53885,40232,144195,-150675
2020-07-01,May 2020-Jul 2020,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.2,76.3,19.5
2020-07-01,May 2020-Jul 2020,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.3,0.2,-0.5
2020-07-01,May 2020-Jul 2020,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.6,1.9,-2.6
2020-08-01,Jun 2020-Aug 2020,Total,London,Level,20100,number of people,7176629,270908,4637960,1207801
2020-08-01,Jun 2020-Aug 2020,Total,London,Change on quarter,20100,number of people,24297,4982,54500,-33916
2020-08-01,Jun 2020-Aug 2020,Total,London,Change on year,20100,number of people,55723,45492,130568,-140296
2020-08-01,Jun 2020-Aug 2020,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,5.3,75.9,19.8
2020-08-01,Jun 2020-Aug 2020,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0,0.7,-0.6
2020-08-01,Jun 2020-Aug 2020,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.7,1.7,-2.4
2020-09-01,Jul 2020-Sep 2020,Total,London,Level,20100,number of people,7181402,310236,4576121,1237813
2020-09-01,Jul 2020-Sep 2020,Total,London,Change on quarter,20100,number of people,23006,65466,-56209,19763
2020-09-01,Jul 2020-Sep 2020,Total,London,Change on year,20100,number of people,55156,87757,40766,-87206
2020-09-01,Jul 2020-Sep 2020,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.1,74.9,20.3
2020-09-01,Jul 2020-Sep 2020,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,1.3,-1.1,0.3
2020-09-01,Jul 2020-Sep 2020,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,1.6,0.2,-1.6
2020-10-01,Aug 2020-Oct 2020,Total,London,Level,20100,number of people,7185279,330843,4574210,1221851
2020-10-01,Aug 2020-Oct 2020,Total,London,Change on quarter,20100,number of people,15698,65467,-80335,33311
2020-10-01,Aug 2020-Oct 2020,Total,London,Change on year,20100,number of people,53734,109543,26425,-97800
2020-10-01,Aug 2020-Oct 2020,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.5,74.8,20
2020-10-01,Aug 2020-Oct 2020,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,1.3,-1.4,0.5
2020-10-01,Aug 2020-Oct 2020,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,2,0,-1.7
2020-11-01,Sep 2020-Nov 2020,Total,London,Level,20100,number of people,7186841,362456,4572805,1193393
2020-11-01,Sep 2020-Nov 2020,Total,London,Change on quarter,20100,number of people,10212,91548,-65155,-14408
2020-11-01,Sep 2020-Nov 2020,Total,London,Change on year,20100,number of people,49917,148509,-28927,-82476
2020-11-01,Sep 2020-Nov 2020,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,7.1,74.8,19.5
2020-11-01,Sep 2020-Nov 2020,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,1.8,-1.1,-0.3
2020-11-01,Sep 2020-Nov 2020,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,2.8,-0.8,-1.5
2020-12-01,Oct 2020-Dec 2020,Total,London,Level,20100,number of people,7188709,366616,4545088,1208470
2020-12-01,Oct 2020-Dec 2020,Total,London,Change on quarter,20100,number of people,7307,56380,-31033,-29343
2020-12-01,Oct 2020-Dec 2020,Total,London,Change on year,20100,number of people,46464,153781,-52848,-75670
2020-12-01,Oct 2020-Dec 2020,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,7.2,74.3,19.8
2020-12-01,Oct 2020-Dec 2020,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,1.1,-0.5,-0.5
2020-12-01,Oct 2020-Dec 2020,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,2.9,-1.2,-1.3
2021-01-01,Nov 2020-Jan 2021,Total,London,Level,20100,number of people,7189893,379066,4527522,1213271
2021-01-01,Nov 2020-Jan 2021,Total,London,Change on quarter,20100,number of people,4614,48223,-46688,-8580
2021-01-01,Nov 2020-Jan 2021,Total,London,Change on year,20100,number of people,42221,154712,-102419,-31116
2021-01-01,Nov 2020-Jan 2021,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,7.5,74.1,19.8
2021-01-01,Nov 2020-Jan 2021,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.9,-0.8,-0.1
2021-01-01,Nov 2020-Jan 2021,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,3,-2,-0.6
2021-02-01,Dec 2020-Feb 2021,Total,London,Level,20100,number of people,7193537,372742,4534077,1215546
2021-02-01,Dec 2020-Feb 2021,Total,London,Change on quarter,20100,number of people,6696,10286,-38728,22153
2021-02-01,Dec 2020-Feb 2021,Total,London,Change on year,20100,number of people,40718,143497,-142954,16048
2021-02-01,Dec 2020-Feb 2021,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,7.3,74.1,19.9
2021-02-01,Dec 2020-Feb 2021,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,0.3,-0.7,0.4
2021-02-01,Dec 2020-Feb 2021,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,2.9,-2.6,0.2
2021-03-01,Jan 2021-Mar 2021,Total,London,Level,20100,number of people,7196451,355455,4558621,1210680
2021-03-01,Jan 2021-Mar 2021,Total,London,Change on quarter,20100,number of people,7742,-11161,13533,2210
2021-03-01,Jan 2021-Mar 2021,Total,London,Change on year,20100,number of people,43305,110746,-103769,12312
2021-03-01,Jan 2021-Mar 2021,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,7,74.5,19.8
2021-03-01,Jan 2021-Mar 2021,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.2,0.2,0
2021-03-01,Jan 2021-Mar 2021,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,2.2,-2,0.1
2021-04-01,Feb 2021-Apr 2021,Total,London,Level,20100,number of people,7199858,338282,4557635,1225986
2021-04-01,Feb 2021-Apr 2021,Total,London,Change on quarter,20100,number of people,9965,-40784,30113,12715
2021-04-01,Feb 2021-Apr 2021,Total,London,Change on year,20100,number of people,47346,92914,-74394,9219
2021-04-01,Feb 2021-Apr 2021,Total,London,Level,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,6.7,74.5,20
2021-04-01,Feb 2021-Apr 2021,Total,London,Change on quarter,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,-0.8,0.4,0.2
2021-04-01,Feb 2021-Apr 2021,Total,London,Change on year,20207,Unemployment rates use employment plus unemployment as a denominator; all other rates use population levels as a denominator.,,1.8,-1.5,0.1
2021-05-01,Mar 2021-May 2021,Total,London,Level,20100,number of people,7205355,330252,4567258,1235211
2021-05-01,Mar 2021-May 2021,Total,London,Change on quarter,20100,number of people,11818,-42490,33181,19665
2021-05-01,Mar 2021-May 2021,Total,London,Change on year,20100,number of people,53023,64326,-16202,-6506
